name,discipline,region,vertical,years_experience,seniority,domain,communication,timezone,bandwidth,availability_status,available_in_weeks
Steve Sanchez,Cloud,APAC,Logistics,12,52,26,36,31,14,Available,0
Lisa Barnes,DevOps,APAC,SaaS,2,10,51,7,24,63,Partially committed,3
Kelly Donovan,Data / Database,Americas,FinTech,13,46,67,46,80,48,Partially committed,1
Mike Allen,Frontend,EMEA,E-commerce,13,57,50,76,76,57,Partially committed,1
Michael Evans,Networking,EMEA,Government,14,80,64,63,54,49,Partially committed,2
Paul Jones,Backend,Americas,Telecom,7,40,40,49,60,48,Available,0
Zachary Ferrell,Networking,EMEA,Other,7,34,37,61,50,70,Partially committed,2
Daniel Baker,DevOps,Americas,SaaS,10,40,37,39,71,78,Available,0
Shirley Suarez,Backend,Americas,Gaming,15,68,44,88,73,44,Partially committed,2
Christopher Bass,Frontend,EMEA,E-commerce,15,57,26,81,62,26,Available,0
Lisa Archer,Backend,APAC,Other,5,39,40,43,37,30,Available,0
Aimee Montoya,AI / ML,Americas,Media,14,60,46,47,74,62,Available,0
Matthew Mcmillan,Networking,Americas,SaaS,8,52,50,61,76,81,Partially committed,4
Brian Rodriguez,DevOps,Americas,Gaming,17,69,52,55,75,16,Partially committed,3
Denise Jacobs,Data / Database,Americas,Other,8,36,37,27,97,38,Partially committed,1
Christina Walters,DevOps,EMEA,Logistics,10,43,30,65,64,50,Available,0
John Whitehead,Data / Database,EMEA,Logistics,8,42,40,63,62,17,Available,0
Anna Henderson,DevOps,Americas,Telecom,7,21,49,38,72,59,Available,0
Aaron Wise,Backend,APAC,Healthcare,15,56,31,35,11,62,Available,0
Deborah Figueroa,Networking,EMEA,SaaS,13,55,47,35,67,65,Partially committed,2
Jessica Smith,Cloud,APAC,EdTech,11,50,46,52,47,48,Partially committed,4
Stephen Mckee,Backend,APAC,SaaS,11,45,33,41,10,50,Available,0
Sandra Aguilar,Networking,Americas,E-commerce,3,22,26,31,99,41,Partially committed,1
Cameron Parker,Data / Database,EMEA,Government,11,42,46,60,54,22,Partially committed,4
Rebecca Valencia,Frontend,Americas,Media,13,43,30,57,84,53,Partially committed,4
Christine Wright,Frontend,Americas,E-commerce,10,34,47,61,69,67,Available,0
Richard Henson,Cloud,APAC,Healthcare,9,47,28,35,10,57,Partially committed,4
Marc Moore,AI / ML,APAC,Telecom,14,58,61,49,5,77,Available,0
Sharon Cherry,Networking,APAC,E-commerce,17,88,83,79,38,56,Available,0
Sierra Johnson,Cloud,Americas,FinTech,13,53,34,58,81,68,Available,0
Evelyn Galvan,Frontend,Americas,Telecom,13,55,53,74,87,58,Available,0
Sharon Cochran,Frontend,Americas,Gaming,7,49,28,55,93,93,Available,0
Richard Rodriguez,Backend,Americas,Logistics,0,12,45,57,81,53,Available,0
Shannon Walker,AI / ML,Americas,Healthcare,10,49,25,57,99,70,Partially committed,3
Julia Torres,Other,Americas,FinTech,11,51,50,65,74,61,Available,0
Crystal Johnson,Backend,Americas,Media,20,99,41,70,78,62,Available,0
Garrett Lin,Networking,Americas,Gaming,11,46,40,48,73,63,Available,0
Diana May,DevOps,EMEA,Government,13,56,31,66,63,54,Available,0
William Herrera,Frontend,EMEA,Media,11,49,54,72,66,64,Available,0
Ashley Waller,DevOps,EMEA,Healthcare,4,27,24,49,50,70,Available,0
Victor Baker,Networking,EMEA,Logistics,18,73,60,60,41,64,Partially committed,1
Jeffrey Chandler,Backend,Americas,FinTech,18,65,46,77,94,82,Partially committed,1
Larry Dixon,AI / ML,Americas,Other,14,66,45,27,73,57,Partially committed,4
Kenneth Scott,Backend,APAC,EdTech,6,32,39,21,24,37,Available,0
April Frost,Frontend,APAC,Logistics,18,78,41,74,17,54,Available,0
Michelle Harmon,Frontend,EMEA,Logistics,4,22,38,36,58,52,Available,0
Helen Jones,Networking,APAC,Media,13,62,68,64,20,44,Partially committed,3
Erin Edwards,Data / Database,EMEA,Government,22,94,46,73,62,42,Partially committed,4
Michelle Evans,Networking,Americas,Gaming,3,30,50,48,76,41,Available,0
Jason Powell,DevOps,Americas,Telecom,11,39,64,33,87,10,Partially committed,2
Cameron Fisher,Data / Database,APAC,E-commerce,12,52,33,59,19,85,Available,0
Megan Orr,Networking,Americas,Telecom,8,40,19,59,94,48,Available,0
Elizabeth Kelley,Data / Database,Americas,Gaming,4,19,39,52,77,27,Available,0
Dustin Jordan,Networking,EMEA,EdTech,11,51,36,79,56,59,Available,0
Mary Marshall,Frontend,APAC,Other,3,29,60,43,16,72,Available,0
Daniel Kennedy,DevOps,Americas,E-commerce,16,59,50,59,82,51,Available,0
Rebecca Jackson,Cloud,APAC,Logistics,7,32,27,19,16,33,Available,0
Jose Schultz,AI / ML,Americas,Government,19,81,37,58,82,22,Available,0
Robert Potter,Backend,EMEA,SaaS,10,34,57,39,45,99,Available,0
Courtney Gonzalez,DevOps,Americas,Gaming,8,44,31,61,80,29,Available,0
David Alvarez,Data / Database,APAC,SaaS,16,66,49,50,33,20,Partially committed,1
Angel Perry,Backend,APAC,Telecom,5,25,50,49,14,54,Available,0
Cheyenne Horton,Frontend,EMEA,Logistics,14,55,40,52,55,72,Available,0
David Douglas Jr.,Frontend,Americas,Media,13,76,45,61,86,84,Partially committed,1
Patricia Rodriguez,Networking,EMEA,Media,4,18,34,37,59,57,Partially committed,3
Christopher Rubio,Cloud,APAC,Other,11,54,52,46,47,51,Partially committed,1
Amber Wright,Backend,EMEA,Government,13,55,54,47,48,29,Partially committed,1
Joyce Solis,Networking,Americas,Logistics,16,66,46,34,82,75,Partially committed,1
Victoria Larson,Frontend,Americas,Gaming,4,25,36,34,99,59,Available,0
Stephanie Salazar,DevOps,EMEA,Government,4,24,29,30,41,60,Partially committed,3
Kathy Rivas,AI / ML,APAC,E-commerce,13,60,25,48,5,63,Available,0
Stephanie Manning,Networking,APAC,Other,11,56,46,59,33,61,Available,0
David Wright,Backend,EMEA,Other,14,55,73,62,65,52,Available,0
Pamela Boyd,Cloud,Americas,E-commerce,12,57,32,57,61,81,Available,0
Denise Jones,Data / Database,Americas,Logistics,2,36,22,57,79,26,Partially committed,4
Devon Flores,AI / ML,Americas,Other,11,55,31,60,72,59,Available,0
Brenda Hall,DevOps,Americas,Government,10,56,53,49,85,63,Available,0
Michelle Brown,Networking,APAC,FinTech,5,36,42,36,28,50,Partially committed,1
Joshua Perry,Frontend,Americas,SaaS,17,87,48,73,95,61,Partially committed,4
Jason Stein,DevOps,EMEA,Government,13,59,33,63,42,67,Available,0
Melissa Gates,DevOps,EMEA,EdTech,8,26,41,58,59,82,Partially committed,3
Jamie Smith,DevOps,EMEA,SaaS,15,63,26,73,61,51,Available,0
Paul Castaneda,Cloud,EMEA,FinTech,6,31,39,33,56,55,Partially committed,4
Jennifer Adkins,AI / ML,Americas,Gaming,16,66,61,56,62,64,Available,0
Lindsey Walker,Networking,APAC,FinTech,15,73,31,71,32,48,Partially committed,2
Jeffrey Johnson,Backend,Americas,Telecom,6,34,16,57,75,28,Partially committed,1
Michael Powell,Networking,APAC,EdTech,13,69,68,73,11,70,Available,0
John Anderson,Frontend,Americas,Logistics,9,58,33,53,86,18,Available,0
Alyssa Long,DevOps,APAC,Gaming,14,66,63,41,36,61,Available,0
Alyssa Day,AI / ML,EMEA,SaaS,20,88,52,55,49,99,Available,0
Joel Williams,Frontend,EMEA,Logistics,10,45,40,51,63,67,Partially committed,3
Daniel Murphy,AI / ML,APAC,E-commerce,7,35,44,47,36,45,Available,0
Jamie Walton,Networking,APAC,EdTech,5,32,24,26,28,50,Available,0
Darlene Miller,Data / Database,APAC,Gaming,9,34,42,42,34,66,Partially committed,3
Joshua Cooke,Backend,EMEA,Gaming,8,48,34,58,65,56,Available,0
Matthew Harrington,Data / Database,EMEA,FinTech,14,57,29,37,60,70,Partially committed,4
Nicole Herring,Other,Americas,Government,10,56,47,68,59,84,Available,0
Alex Hernandez,Backend,APAC,Other,13,67,42,53,3,79,Available,0
Michael Elliott,DevOps,APAC,EdTech,8,50,38,68,39,33,Available,0
Michael Wang,Frontend,APAC,Logistics,17,79,33,57,21,51,Fully booked,6
Lawrence Adkins,Backend,EMEA,FinTech,12,45,67,33,50,67,Available,0
Robert Oconnell,Networking,APAC,SaaS,23,99,70,68,47,77,Available,0
Alexander Collins,Backend,APAC,SaaS,16,63,63,55,21,61,Available,0
Tina Sanders,Other,EMEA,Telecom,8,33,36,36,54,45,Partially committed,1
Angela Vaughn,Data / Database,APAC,Government,4,29,11,36,28,69,Available,0
Ashley Barton,Data / Database,Americas,Healthcare,13,60,72,60,80,91,Partially committed,3
Lindsay Martinez,Frontend,EMEA,SaaS,9,46,39,45,68,52,Available,0
Dr. Hannah Patterson,Other,EMEA,Government,17,64,40,56,51,39,Available,0
Jonathan Peterson,Frontend,EMEA,E-commerce,11,59,49,31,62,54,Available,0
Samantha Garcia,DevOps,Americas,Government,13,49,61,55,83,43,Available,0
Madison Poole,Backend,EMEA,Gaming,9,33,41,40,65,76,Partially committed,2
Jessica Gross,Data / Database,EMEA,Logistics,8,20,58,57,41,49,Available,0
Debra Morton,DevOps,EMEA,Gaming,8,41,55,32,32,83,Partially committed,4
Karen Graham,Cloud,EMEA,Gaming,16,67,35,33,55,63,Available,0
Debra Christian,Frontend,Americas,SaaS,17,54,41,61,74,69,Partially committed,2
Angelica Keith,Data / Database,APAC,Telecom,4,25,49,42,43,74,Available,0
John Bishop,Networking,APAC,Media,9,53,3,38,27,72,Partially committed,2
Allen Rosales,Data / Database,EMEA,Government,9,58,39,32,57,48,Available,0
Daniel Salinas,Frontend,Americas,Media,9,32,20,63,79,40,Partially committed,4
Spencer Haynes,Backend,EMEA,Other,8,53,33,71,48,46,Available,0
Adam Vaughan,Backend,APAC,Media,11,51,39,16,29,74,Available,0
Nathan Freeman,Frontend,APAC,Media,7,27,33,32,38,25,Available,0
Melissa Brewer,Backend,Americas,FinTech,13,57,38,77,79,15,Partially committed,2
Ricky Davis II,DevOps,APAC,Other,14,61,32,49,24,58,Available,0
Elizabeth Perkins,Frontend,EMEA,Media,16,72,82,54,63,69,Partially committed,4
Joseph Coleman,DevOps,Americas,SaaS,18,71,78,57,65,72,Available,0
Erin Warner,Other,APAC,Healthcare,3,22,17,21,40,42,Partially committed,4
David Martinez,Other,EMEA,Media,6,31,59,17,47,36,Available,0
Bryan Herrera,Networking,Americas,FinTech,12,60,39,70,91,40,Available,0
Cathy Robinson,Backend,EMEA,FinTech,15,60,50,29,58,46,Available,0
Dr. William Warren,Frontend,APAC,Gaming,15,60,47,59,7,47,Available,0
Brian Lee,Networking,EMEA,Media,23,99,48,87,55,49,Available,0
Christopher Smith,Frontend,Americas,Healthcare,16,61,63,35,95,82,Available,0
Denise Mccann,Backend,EMEA,Government,14,73,48,48,52,51,Partially committed,3
Melissa Martinez,DevOps,APAC,EdTech,19,69,46,77,26,71,Partially committed,3
Katherine Salas,Frontend,Americas,SaaS,17,63,32,64,74,67,Available,0
Julie Alexander,Networking,Americas,SaaS,11,44,31,38,94,43,Available,0
Anthony Everett,Networking,APAC,Government,18,65,29,74,23,66,Available,0
Rodney Morales,Cloud,EMEA,Gaming,4,35,35,59,73,70,Available,0
Mark Brown,Networking,EMEA,Government,9,45,24,51,67,57,Available,0
Justin Torres,Backend,APAC,SaaS,7,40,35,33,41,61,Partially committed,2
Bailey Duran DDS,Cloud,Americas,Other,13,52,65,45,83,54,Partially committed,2
Courtney Mills,Backend,APAC,Gaming,19,96,70,77,23,26,Available,0
Jeremy Dalton,Cloud,Americas,Government,4,13,35,29,87,99,Available,0
Elizabeth Oliver DDS,Frontend,Americas,E-commerce,17,64,49,70,98,75,Available,0
Theresa Clark,Cloud,EMEA,EdTech,5,18,63,12,73,72,Partially committed,2
Matthew Moore,Other,APAC,Media,10,41,49,24,9,50,Available,0
Benjamin Smith,Frontend,Americas,EdTech,14,72,42,63,99,50,Partially committed,2
Kirk Carter,Frontend,EMEA,Gaming,10,51,22,44,58,32,Partially committed,2
Michael Warner,Frontend,APAC,Logistics,9,28,46,30,36,69,Available,0
Michael Bradshaw,Data / Database,APAC,Government,9,36,53,18,19,65,Available,0
Lori Guerrero,Backend,Americas,Logistics,14,64,38,57,72,49,Available,0
Jessica Stephens,Networking,Americas,Media,7,35,43,42,68,59,Partially committed,3
Susan Serrano,Data / Database,Americas,Government,8,54,35,61,99,49,Available,0
Christopher Parker,Data / Database,APAC,SaaS,9,51,38,51,21,46,Partially committed,2
Laura Roberts,Cloud,Americas,Media,12,37,10,42,81,43,Partially committed,2
Michael Lyons,Backend,APAC,Telecom,18,93,49,88,25,28,Partially committed,1
Kathryn Snyder,Backend,EMEA,Other,14,63,61,38,45,40,Available,0
Andrew Reynolds,Cloud,APAC,SaaS,4,9,26,37,26,51,Partially committed,4
David Davis,Networking,Americas,Media,9,54,42,28,83,77,Available,0
Sara Johnston,Frontend,APAC,Media,9,37,30,32,40,46,Available,0
Yvonne Chambers,Frontend,Americas,E-commerce,17,67,55,42,71,12,Available,0
Andrew Avila,Backend,EMEA,SaaS,8,34,36,53,49,65,Available,0
Matthew Moon,Backend,Americas,E-commerce,16,48,36,48,88,69,Partially committed,4
Kevin Walters,Backend,Americas,E-commerce,10,60,61,55,82,73,Partially committed,3
Brandon Bailey MD,Cloud,Americas,Government,17,67,63,43,83,56,Partially committed,4
Shannon Rivera,Networking,Americas,SaaS,5,26,28,34,72,37,Partially committed,2
Donna Landry,Backend,Americas,SaaS,11,43,50,36,90,41,Partially committed,4
Krista Gibson,DevOps,Americas,Media,10,41,49,51,96,70,Partially committed,3
Frank Cordova,Backend,EMEA,SaaS,7,37,47,30,68,87,Available,0
Jose Travis,Data / Database,EMEA,Media,19,85,30,86,53,27,Available,0
Kimberly Gutierrez,DevOps,APAC,Healthcare,9,58,55,31,2,59,Available,0
Isaiah Avila,AI / ML,Americas,SaaS,7,25,30,26,84,49,Available,0
Olivia Harris,Backend,APAC,Healthcare,16,68,44,83,29,36,Partially committed,4
Tanya Kim,Frontend,EMEA,EdTech,22,92,93,65,45,49,Fully booked,7
Barbara Dudley,DevOps,EMEA,Telecom,18,71,56,42,47,49,Partially committed,4
Cynthia Moore,Backend,Americas,Logistics,5,20,31,38,72,21,Available,0
Kristen Davis,Frontend,Americas,Media,9,40,10,39,85,62,Available,0
Susan Murray MD,Frontend,APAC,EdTech,15,75,67,51,20,58,Available,0
Kathleen Moran,DevOps,EMEA,SaaS,7,36,19,28,57,73,Available,0
Denise Davenport,Backend,APAC,Government,15,59,35,93,52,43,Available,0
Mrs. Kristen Reyes,Other,APAC,Other,17,65,46,54,26,21,Partially committed,1
Katie Suarez,Data / Database,APAC,Healthcare,7,31,58,14,16,51,Available,0
Desiree Tyler,Backend,Americas,SaaS,11,49,54,70,67,70,Available,0
Timothy Romero,DevOps,EMEA,Gaming,0,0,28,34,58,63,Available,0
Diane Evans,Backend,APAC,Telecom,9,30,45,29,48,77,Available,0
Yvonne Burns,Data / Database,EMEA,Gaming,11,45,35,34,46,31,Partially committed,1
Joshua Reed,Data / Database,EMEA,Telecom,9,25,43,47,33,77,Partially committed,2
Kimberly Gibson,Data / Database,APAC,Telecom,17,83,51,63,45,55,Available,0
Colin Terry,Networking,APAC,EdTech,4,21,48,9,53,54,Partially committed,4
Cynthia Rowe,Backend,Americas,Gaming,10,41,55,71,90,79,Available,0
Patrick Thornton,AI / ML,EMEA,Healthcare,13,53,52,45,59,60,Partially committed,2
Jasmin Alvarado,Networking,APAC,Gaming,17,79,45,85,29,31,Available,0
Veronica Simpson,Backend,APAC,Other,3,21,44,54,35,81,Available,0
Jonathan Lawrence,Backend,EMEA,FinTech,18,73,50,48,61,47,Available,0
Shelly Alexander,Backend,APAC,EdTech,13,50,30,65,31,57,Partially committed,4
Joyce Bowen,Backend,EMEA,Healthcare,5,30,30,31,45,42,Available,0
Matthew Moore,DevOps,APAC,Logistics,16,59,50,28,31,53,Available,0
Wayne Morgan,Frontend,EMEA,Other,14,54,60,46,54,36,Partially committed,2
Marie Christian,AI / ML,APAC,Healthcare,9,38,38,50,20,55,Available,0
Shannon James,Frontend,APAC,Other,12,51,27,44,31,56,Partially committed,2
Nathan Malone,Backend,Americas,Gaming,11,42,43,42,77,69,Available,0
Amanda Jones,Frontend,EMEA,Government,10,52,43,67,56,27,Partially committed,4
Tammie Bright,Backend,Americas,Logistics,14,63,50,58,87,74,Partially committed,1
Jessica Garcia,Networking,APAC,Media,14,82,60,54,34,71,Available,0
Shelia Wallace,DevOps,EMEA,Gaming,7,25,53,47,50,57,Available,0
Stephanie Williams,Backend,EMEA,Media,17,93,43,74,60,51,Partially committed,3
Elaine Brooks,AI / ML,APAC,Healthcare,5,11,28,0,35,69,Partially committed,2
Joseph Knight,Networking,APAC,Government,10,47,27,54,38,58,Partially committed,3
Carolyn Miller,Cloud,APAC,FinTech,13,62,56,61,31,66,Available,0
Lisa Allen,AI / ML,APAC,FinTech,11,56,64,53,34,47,Available,0
Briana Murray,DevOps,EMEA,EdTech,8,38,35,56,51,43,Partially committed,4
David Smith,Data / Database,Americas,E-commerce,13,46,42,39,99,65,Available,0
Stephanie Byrd,Backend,EMEA,Other,4,40,55,50,54,27,Partially committed,2
Jeremy Reed,Backend,EMEA,E-commerce,11,38,50,22,66,70,Available,0
Margaret Coleman,DevOps,EMEA,Telecom,16,67,55,64,50,67,Available,0
Ryan Gonzalez,AI / ML,EMEA,Media,10,57,26,81,59,39,Partially committed,4
John Young,DevOps,APAC,SaaS,6,36,47,29,31,87,Available,0
Laura Haney,AI / ML,Americas,SaaS,18,68,39,48,87,46,Partially committed,2
William Barrett,Backend,EMEA,Logistics,11,56,27,43,47,46,Available,0
Keith Jennings,Cloud,EMEA,Media,12,66,40,60,59,40,Available,0
Amber Obrien,DevOps,Americas,Healthcare,16,63,41,41,77,63,Partially committed,1
Tanner Mitchell DDS,Cloud,APAC,Telecom,8,33,37,48,36,51,Available,0
Heather Fields,DevOps,EMEA,Healthcare,7,39,18,56,46,29,Available,0
Megan Le,Backend,APAC,EdTech,15,65,61,65,31,60,Fully booked,15
Sara Fuller,Frontend,EMEA,SaaS,12,62,60,31,55,48,Partially committed,2
Maria Parker,Other,EMEA,Government,13,50,19,64,74,78,Partially committed,2
Kevin Oconnor,Frontend,Americas,FinTech,14,52,60,64,93,62,Partially committed,2
Edward Burgess,Data / Database,Americas,FinTech,18,76,40,74,96,57,Available,0
Carlos Ryan,Data / Database,APAC,Telecom,9,38,53,49,20,78,Available,0
Kiara Mcintyre,Backend,EMEA,SaaS,17,61,50,59,51,57,Available,0
Dawn Summers,Networking,APAC,FinTech,10,46,43,62,28,72,Partially committed,4
Dr. Paul Morgan,Cloud,Americas,E-commerce,8,46,37,75,93,44,Partially committed,1
Victor Taylor,AI / ML,Americas,E-commerce,17,72,67,48,86,85,Partially committed,4
Shannon Ramsey,Backend,Americas,Logistics,19,67,35,73,75,58,Partially committed,3
Tracy Ballard,DevOps,Americas,Media,13,66,54,57,75,29,Partially committed,1
Richard Smith,AI / ML,Americas,EdTech,16,76,65,61,94,54,Available,0
Jordan Chambers,Other,APAC,Logistics,12,50,54,29,32,60,Available,0
Lauren Carson,Other,APAC,FinTech,14,64,79,53,29,56,Available,0
Ashley Hall,Cloud,Americas,E-commerce,8,44,32,33,82,11,Available,0
Stephen Hoffman,Frontend,EMEA,Telecom,15,56,61,47,64,44,Available,0
Connie Brown,Frontend,EMEA,SaaS,15,47,47,33,44,29,Partially committed,2
Susan Turner,Networking,EMEA,Other,12,52,62,45,56,28,Available,0
Charles Shah,AI / ML,EMEA,Other,12,62,44,50,56,57,Partially committed,2
Johnathan Davis,Cloud,EMEA,E-commerce,4,34,30,43,43,48,Available,0
Brandy Chavez,Backend,Americas,Gaming,21,92,73,48,80,41,Fully booked,7
Natalie Bautista,DevOps,APAC,EdTech,9,30,34,20,51,42,Partially committed,2
Patrick Moore,Backend,Americas,FinTech,7,26,18,43,74,88,Partially committed,3
Brett Burns,Data / Database,EMEA,Healthcare,16,73,42,50,56,52,Available,0
Trevor Johnson,Backend,EMEA,Logistics,13,66,55,73,34,23,Available,0
Jeremy Sampson,AI / ML,APAC,FinTech,12,62,64,59,27,67,Available,0
Ariana Jennings,Backend,Americas,Other,16,63,50,65,71,47,Available,0
Vanessa Howard,DevOps,APAC,Gaming,13,50,64,70,24,80,Available,0
Colton Martinez,Backend,EMEA,Government,4,32,16,37,59,59,Available,0
Jordan Bates,Cloud,EMEA,EdTech,15,52,41,43,44,42,Available,0
Linda Smith,DevOps,APAC,Media,9,36,37,55,30,48,Partially committed,3
Dana Martinez,AI / ML,EMEA,E-commerce,18,70,50,67,47,44,Available,0
Andrea Hubbard,Frontend,Americas,Logistics,8,47,41,46,69,66,Partially committed,2
Daniel Kane,Backend,EMEA,E-commerce,5,33,45,61,65,43,Available,0
Charles Lester,Networking,EMEA,Gaming,9,44,35,44,45,82,Available,0
Scott Thomas,Backend,Americas,Logistics,14,58,49,55,78,62,Available,0
David Thompson,Frontend,EMEA,Healthcare,12,39,44,45,49,62,Partially committed,2
Allison Smith,Data / Database,APAC,Government,9,34,28,29,30,60,Partially committed,3
Cynthia Morris,Cloud,APAC,SaaS,12,55,42,54,28,55,Partially committed,4
Anthony Harmon,Frontend,EMEA,Healthcare,10,55,40,72,53,30,Available,0
Nichole Alvarez,Backend,Americas,Logistics,11,40,41,51,75,64,Available,0
Kayla Rodriguez,Networking,Americas,E-commerce,7,41,39,46,79,96,Available,0
